obj_id,Area,rst1,Mean_1
237,6,0.361111111111111,218
238,1,0,217
239,2,0.25,220
240,1,0,215
241,2,0.25,156
242,2,0.25,159
243,1,0,157
244,1,0,156
245,2,0.25,158
246,1,0,157
247,1,0,155
248,2,0.5,157
249,3,0.333333333333333,158
250,1,0,157
251,6,0.472222222222222,160
252,1,0,161
253,1,0,158
254,1,0,159
255,2,0.25,158
256,1,0,159
257,2,0.5,162
258,3,0.222222222222222,160
259,1,0,163
260,1,0,157
261,1,0,158
262,2,0.5,161
263,1,0,158
264,2,0.5,161
265,5,0.8,164
266,2,0.25,163
267,1,0,165
268,1,0,159
269,2,0.25,163
270,2,0.5,166
271,1,0,164
272,6,0.388888888888889,165
273,2,0.25,164
274,4,0.1875,165
275,1,0,162
276,1,0,165
277,1,0,168
278,3,0.333333333333333,167
279,1,0,162
280,1,0,166
281,1,0,165
282,2,0.25,168
283,1,0,170
284,2,0.5,169
285,1,0,172
286,4,0.5,169
287,5,0.28,171
288,3,0.333333333333333,169
289,1,0,170
290,1,0,174
291,1,0,172
292,2,0.25,171
293,1,0,173
294,1,0,171
295,1,0,174
296,3,0.333333333333333,172
297,1,0,175
298,1,0,176
299,1,0,175
300,1,0,179
301,5,0.24,176
302,2,0.25,177
303,4,0.25,178
304,2,0.25,179
305,6,0.194444444444444,181
306,1,0,178
307,1,0,182
308,1,0,179
309,1,0,181
310,6,0.388888888888889,180
311,1,0,185
312,1,0,187
313,1,0,182
314,1,0,179
315,1,0,182
316,1,0,185
317,1,0,181
318,2,0.25,185
319,2,0.25,183
320,1,0,184
321,1,0,185
322,1,0,180
323,4,0.25,182
324,2,0.25,185
325,2,0.25,184
326,1,0,186
327,1,0,185
328,4,0.3125,184
329,2,0.25,185
330,1,0,188
331,6,0.25,186
332,2,0.25,183
333,1,0,184
334,1,0,182
335,2,0.25,187
336,1,0,184
337,1,0,187
338,1,0,183
339,2,0.5,187
340,1,0,189
341,1,0,187
342,6,0.277777777777778,185
343,1,0,184
344,2,0.5,186
345,1,0,191
346,1,0,187
347,1,0,188
348,3,0.333333333333333,186
349,1,0,184
350,2,0.5,185
351,1,0,187
352,2,0.25,185
353,1,0,183
354,1,0,186
355,1,0,182
356,2,0.25,186
357,3,0.222222222222222,184
358,1,0,186
359,1,0,188
360,1,0,184
361,2,0.25,185
362,3,0.222222222222222,183
363,2,0.25,184
364,1,0,187
365,1,0,186
366,1,0,185
367,1,0,192
368,1,0,188
369,1,0,191
370,1,0,193
371,1,0,194
372,1,0,195
373,1,0,193
374,1,0,191
375,1,0,195
376,1,0,196
377,1,0,193
378,1,0,194
379,1,0,195
380,1,0,191
381,1,0,193
382,1,0,197
383,1,0,190
384,1,0,196
385,1,0,198
386,1,0,199
387,1,0,197
388,1,0,194
389,1,0,193
390,1,0,192
391,1,0,193
392,1,0,197
393,2,0.25,198
394,2,0.25,196
395,1,0,189
396,1,0,192
397,1,0,193
398,2,0.25,194
399,1,0,198
400,1,0,200
401,1,0,203
402,1,0,204
403,1,0,201
404,2,0.25,200
405,1,0,202
406,1,0,201
407,1,0,204
408,1,0,203
409,1,0,202
410,1,0,203
411,1,0,204
412,1,0,206
413,1,0,207
414,1,0,210
415,1,0,207
416,1,0,208
417,1,0,205
418,1,0,209
419,1,0,212
420,1,0,207
421,1,0,212
422,1,0,208
423,1,0,209
424,1,0,208
425,1,0,209
426,1,0,207
427,1,0,205
428,1,0,208
429,1,0,209
430,1,0,210
431,1,0,213
432,1,0,208
433,1,0,212
434,1,0,213
435,1,0,214
436,1,0,213
437,1,0,211
438,1,0,216
439,2,0.25,214
440,1,0,213
441,1,0,210
442,1,0,214
443,1,0,213
444,1,0,212
445,1,0,215
446,1,0,212
447,1,0,214
448,1,0,214
449,1,0,212
450,1,0,220
451,1,0,212
452,1,0,214
453,1,0,217
454,2,0.25,220
455,1,0,221
456,1,0,219
457,2,0.5,158
458,1,0,155
459,1,0,156
460,1,0,159
461,4,0.1875,158
462,2,0.5,159
463,1,0,163
464,2,0.5,161
465,1,0,164
466,1,0,160
467,1,0,165
468,2,0.25,163
469,1,0,163
470,2,0.5,165
471,1,0,162
472,1,0,161
473,3,0.333333333333333,165
474,1,0,164
475,1,0,164
476,1,0,166
477,2,0.25,167
478,1,0,164
479,1,0,170
480,1,0,166
481,3,0.222222222222222,170
482,1,0,169
483,1,0,166
484,1,0,167
485,2,0.25,170
486,1,0,171
487,2,0.5,169
488,2,0.25,170
489,2,0.25,169
490,3,0.222222222222222,173
491,1,0,171
492,1,0,173
493,1,0,174
494,1,0,180
495,1,0,179
496,1,0,177
497,1,0,180
498,4,0.25,178
499,1,0,179
500,1,0,178
501,1,0,184
502,3,0.222222222222222,181
503,2,0.25,182
504,1,0,183
505,4,0.4375,182
506,2,0.25,181
507,1,0,182
508,1,0,183
509,5,0.24,181
510,1,0,183
511,1,0,183
512,3,0.444444444444444,184
513,1,0,183
514,1,0,187
515,2,0.25,184
516,4,0.25,185
517,3,0.333333333333333,182
518,1,0,183
519,1,0,186
520,1,0,182
521,2,0.25,184
522,1,0,188
523,2,0.25,184
524,1,0,182
525,2,0.5,181
526,1,0,186
527,2,0.25,182
528,1,0,185
529,1,0,183
530,1,0,180
531,1,0,181
532,1,0,182
533,1,0,181
534,8,0.578125,185
535,1,0,182
536,1,0,186
537,1,0,182
538,1,0,181
539,1,0,182
540,6,0.444444444444444,181
541,1,0,179
542,1,0,177
543,1,0,180
544,1,0,181
545,2,0.25,178
546,3,0.222222222222222,180
547,1,0,179
548,1,0,180
549,1,0,177
550,1,0,179
551,1,0,180
552,3,0.444444444444444,178
553,1,0,176
554,1,0,178
555,2,0.25,174
556,4,0.375,177
557,1,0,178
558,1,0,173
559,2,0.25,177
560,1,0,176
561,3,0.222222222222222,172
562,1,0,176
563,2,0.25,174
564,1,0,177
565,2,0.25,173
566,2,0.5,169
567,1,0,172
568,1,0,169
569,7,0.346938775510204,171
570,2,0.25,167
571,1,0,166
572,1,0,167
573,7,0.448979591836735,168
574,1,0,169
575,1,0,166
576,1,0,169
577,1,0,165
578,3,0.222222222222222,166
579,1,0,164
580,1,0,166
581,1,0,169
582,1,0,166
583,1,0,168
584,7,0.428571428571429,166
585,1,0,165
586,1,0,168
587,1,0,167
588,3,0.222222222222222,168
589,4,0.25,165
590,2,0.25,166
591,1,0,164
592,1,0,163
593,1,0,164
594,1,0,159
595,2,0.25,164
596,1,0,158
597,4,0.25,162
598,1,0,161
599,1,0,159
600,5,0.24,161
601,2,0.25,159
602,1,0,160
603,3,0.333333333333333,155
604,1,0,154
605,1,0,155
606,1,0,153
607,1,0,156
608,4,0.3125,155
609,1,0,158
610,2,0.25,156
611,3,0.222222222222222,155
612,1,0,156
613,1,0,154
614,1,0,151
615,2,0.25,156
616,1,0,155
617,2,0.25,152
618,5,0.2,155
619,1,0,153
620,1,0,156
621,1,0,154
622,1,0,153
623,1,0,151
624,2,0.25,152
625,1,0,160
626,1,0,154
627,1,0,157
628,1,0,157
629,1,0,159
630,1,0,160
631,2,0.25,155
632,1,0,156
633,2,0.25,158
634,3,0.222222222222222,157
635,1,0,165
636,1,0,159
637,1,0,158
638,2,0.25,162
639,4,0.375,161
640,1,0,159
641,1,0,162
642,1,0,164
643,1,0,163
644,1,0,169
645,1,0,164
646,2,0.25,163
647,1,0,161
648,1,0,163
649,1,0,168
650,1,0,164
651,1,0,163
652,3,0.222222222222222,169
653,1,0,169
654,5,0.44,170
655,1,0,174
656,2,0.25,168
657,1,0,168
658,1,0,170
659,1,0,168
660,1,0,174
661,5,0.52,175
662,3,0.333333333333333,179
663,1,0,177
664,5,0.24,177
665,2,0.25,180
666,3,0.222222222222222,181
667,1,0,183
668,1,0,180
669,2,0.25,184
670,1,0,179
671,1,0,180
672,1,0,183
673,1,0,179
674,1,0,177
675,1,0,182
676,1,0,188
677,2,0.25,185
678,1,0,181
679,1,0,184
680,1,0,182
681,1,0,184
682,1,0,181
683,1,0,185
684,2,0.25,184
685,1,0,184
686,3,0.222222222222222,187
687,1,0,183
688,1,0,187
689,1,0,188
690,3,0.222222222222222,185
691,1,0,180
692,1,0,186
693,1,0,183
694,1,0,186
695,1,0,184
696,1,0,181
697,1,0,185
698,1,0,184
699,2,0.25,183
700,1,0,184
701,1,0,183
702,1,0,184
703,1,0,183
704,2,0.25,180
705,4,0.25,185
706,1,0,183
707,3,0.222222222222222,184
708,1,0,179
709,1,0,175
710,1,0,181
711,1,0,178
712,1,0,180
713,1,0,177
714,2,0.25,181
715,1,0,178
716,1,0,181
717,1,0,175
718,1,0,176
719,2,0.5,180
720,1,0,175
721,1,0,176
722,3,0.222222222222222,175
723,1,0,174
724,9,0.395061728395062,175
725,1,0,178
726,1,0,173
727,1,0,173
728,1,0,170
729,1,0,171
730,2,0.5,170
731,1,0,170
732,1,0,171
733,4,0.25,169
734,1,0,167
735,4,0.25,168
736,4,0.5625,167
737,1,0,168
738,2,0.25,171
739,2,0.5,170
740,1,0,165
741,1,0,172
742,1,0,170
743,3,0.222222222222222,169
744,1,0,169
745,1,0,165
746,1,0,162
747,2,0.25,163
748,1,0,166
749,2,0.25,160
750,1,0,158
751,1,0,161
752,1,0,166
753,1,0,162
754,1,0,160
755,2,0.25,160
756,6,0.472222222222222,158
757,2,0.5,159
758,1,0,158
759,1,0,160
760,4,0.25,156
761,2,0.25,160
762,1,0,154
763,1,0,153
764,1,0,158
765,1,0,155
766,1,0,158
767,1,0,157
768,1,0,156
769,1,0,157
770,2,0.25,155
771,1,0,154
772,1,0,155
773,1,0,153
774,1,0,156
775,1,0,153
776,4,0.25,155
777,3,0.333333333333333,159
778,1,0,155
779,1,0,156
780,2,0.25,155
781,1,0,157
782,2,0.25,154
783,1,0,162
784,2,0.25,158
785,1,0,157
786,5,0.24,159
787,1,0,161
788,1,0,160
789,2,0.25,157
790,1,0,156
791,1,0,159
792,2,0.25,160
793,1,0,161
794,1,0,158
795,1,0,161
796,1,0,158
797,1,0,164
798,1,0,162
799,2,0.25,160
800,4,0.25,166
801,1,0,169
802,2,0.5,166
803,2,0.25,164
804,2,0.25,167
805,1,0,164
806,1,0,168
807,1,0,164
808,1,0,166
809,1,0,166
810,1,0,167
811,2,0.5,169
812,1,0,165
813,1,0,173
814,2,0.25,166
815,2,0.5,168
816,1,0,167
817,3,0.222222222222222,170
818,2,0.25,173
819,2,0.25,172
820,1,0,173
821,1,0,179
822,1,0,180
823,2,0.5,179
824,1,0,178
825,1,0,176
826,3,0.222222222222222,179
827,1,0,175
828,1,0,173
829,1,0,179
830,1,0,179
831,1,0,178
832,1,0,175
833,2,0.25,179
834,1,0,180
835,2,0.25,184
836,1,0,183
837,2,0.25,179
838,1,0,178
839,1,0,180
840,1,0,182
841,1,0,185
842,1,0,182
843,1,0,186
844,1,0,183
845,2,0.25,186
846,1,0,190
847,1,0,187
848,1,0,185
849,1,0,183
850,2,0.5,186
851,3,0.222222222222222,183
852,1,0,188
853,1,0,185
854,3,0.222222222222222,186
855,1,0,186
856,1,0,187
857,1,0,188
858,1,0,188
859,3,0.222222222222222,190
860,1,0,184
861,1,0,186
862,7,0.306122448979592,187
863,6,0.222222222222222,185
864,2,0.5,187
865,1,0,188
866,1,0,187
867,4,0.25,186
868,1,0,185
869,3,0.333333333333333,187
870,2,0.25,186
871,1,0,180
872,7,0.387755102040816,183
873,1,0,180
874,2,0.25,182
875,2,0.25,184
876,2,0.25,182
877,2,0.5,183
878,2,0.5,182
879,1,0,179
880,1,0,180
881,1,0,178
882,2,0.5,181
883,2,0.5,180
884,1,0,176
885,1,0,181
886,2,0.25,176
887,1,0,171
888,1,0,173
889,1,0,175
890,1,0,170
891,2,0.25,169
892,2,0.5,167
893,1,0,168
894,2,0.25,167
895,1,0,161
896,2,0.5,170
897,1,0,167
898,2,0.5,169
899,1,0,169
900,1,0,167
901,2,0.25,171
902,1,0,169
903,1,0,169
904,1,0,166
905,15,0.284444444444444,167
906,5,0.28,164
907,1,0,164
908,2,0.25,162
909,1,0,164
910,1,0,165
911,1,0,163
912,1,0,160
913,1,0,163
914,2,0.5,157
915,1,0,161
916,1,0,162
917,2,0.25,157
918,1,0,159
919,1,0,154
920,1,0,153
921,1,0,156
922,1,0,152
923,1,0,154
924,1,0,152
925,5,0.32,153
926,1,0,154
927,1,0,157
928,2,0.5,150
929,1,0,153
930,2,0.5,154
931,1,0,151
932,1,0,150
933,1,0,152
934,1,0,153
935,2,0.25,151
936,1,0,157
937,1,0,156
938,1,0,152
939,1,0,158
940,2,0.5,156
941,1,0,158
942,1,0,152
943,1,0,153
944,1,0,159
945,1,0,156
946,1,0,157
947,1,0,161
948,2,0.5,160
949,2,0.25,161
950,2,0.25,162
951,2,0.5,160
952,1,0,165
953,1,0,162
954,1,0,159
955,1,0,163
956,2,0.25,165
957,2,0.5,164
958,4,0.1875,167
959,1,0,164
960,1,0,169
961,1,0,172
962,1,0,165
963,5,0.32,169
964,1,0,170
965,4,0.25,170
966,1,0,171
967,1,0,168
968,1,0,173
969,4,0.25,170
970,1,0,166
971,1,0,175
972,1,0,167
973,3,0.222222222222222,171
974,3,0.222222222222222,172
975,1,0,174
976,2,0.25,172
977,1,0,177
978,1,0,176
979,2,0.5,178
980,1,0,177
981,1,0,180
982,1,0,178
983,1,0,180
984,1,0,179
985,1,0,176
986,1,0,183
987,5,0.36,182
988,3,0.333333333333333,181
989,1,0,182
990,2,0.25,181
991,1,0,186
992,1,0,181
993,1,0,185
994,2,0.5,182
995,1,0,181
996,1,0,183
997,2,0.25,186
998,3,0.222222222222222,183
999,3,0.333333333333333,187
1000,1,0,186
1001,1,0,187
1002,2,0.5,188
1003,1,0,185
1004,1,0,182
1005,1,0,186
1006,1,0,184
1007,1,0,185
1008,1,0,185
1009,1,0,186
1010,2,0.25,189
1011,3,0.333333333333333,187
1012,2,0.25,189
1013,1,0,190
1014,3,0.333333333333333,188
1015,1,0,186
1016,1,0,189
1017,2,0.25,188
1018,2,0.25,184
1019,2,0.25,187
1020,4,0.25,183
1021,2,0.25,182
1022,1,0,183
1023,2,0.25,182
1024,1,0,185
1025,3,0.222222222222222,183
1026,2,0.5,182
1027,1,0,181
1028,2,0.25,179
1029,1,0,177
1030,3,0.222222222222222,177
1031,1,0,179
1032,1,0,175
1033,2,0.25,180
1034,1,0,177
1035,1,0,172
1036,1,0,177
1037,1,0,179
1038,1,0,177
1039,2,0.25,174
1040,5,0.24,172
1041,2,0.25,173
1042,3,0.222222222222222,172
1043,1,0,168
1044,1,0,168
1045,1,0,171
1046,1,0,169
1047,2,0.25,170
1048,2,0.5,167
1049,4,0.75,168
1050,1,0,172
1051,2,0.25,168
1052,1,0,170
1053,1,0,168
1054,1,0,168
1055,4,0.25,165
1056,1,0,167
1057,1,0,168
1058,1,0,169
1059,2,0.25,166
1060,1,0,163
1061,1,0,161
1062,1,0,160
1063,3,0.333333333333333,161
1064,1,0,160
1065,1,0,163
1066,1,0,158
1067,4,0.25,159
1068,2,0.25,162
1069,3,0.222222222222222,158
1070,2,0.25,159
1071,1,0,160
1072,1,0,158
1073,1,0,158
1074,3,0.222222222222222,153
1075,2,0.25,151
1076,1,0,152
1077,1,0,151
1078,4,0.25,152
1079,1,0,152
1080,1,0,142
1081,1,0,141
1082,1,0,149
1083,1,0,150
1084,1,0,153
1085,1,0,156
1086,1,0,153
1087,1,0,157
1088,3,0.333333333333333,156
1089,1,0,153
1090,1,0,155
1091,1,0,154
1092,1,0,155
1093,3,0.333333333333333,157
1094,1,0,155
1095,1,0,156
1096,1,0,155
1097,1,0,157
1098,2,0.5,158
1099,1,0,160
1100,1,0,157
1101,2,0.25,162
1102,1,0,158
1103,1,0,155
1104,1,0,159
1105,1,0,162
1106,1,0,161
1107,1,0,158
1108,1,0,163
1109,1,0,166
1110,1,0,161
1111,1,0,165
1112,2,0.25,168
1113,4,0.3125,170
1114,1,0,165
1115,1,0,168
1116,1,0,169
1117,1,0,168
1118,1,0,166
1119,3,0.222222222222222,172
1120,2,0.25,171
1121,1,0,172
1122,1,0,171
1123,1,0,173
1124,1,0,170
1125,1,0,173
1126,1,0,176
1127,4,0.25,178
1128,2,0.25,175
1129,1,0,176
1130,1,0,174
1131,2,0.25,178
1132,1,0,180
1133,1,0,179
1134,1,0,182
1135,1,0,181
1136,2,0.25,180
1137,1,0,181
1138,1,0,182
1139,1,0,177
1140,1,0,179
1141,1,0,183
1142,3,0.333333333333333,184
1143,1,0,182
1144,1,0,186
1145,1,0,185
1146,1,0,183
1147,1,0,185
1148,3,0.222222222222222,184
1149,1,0,185
1150,1,0,184
1151,1,0,188
1152,2,0.25,184
1153,2,0.25,186
1154,3,0.333333333333333,188
1155,1,0,190
1156,4,0.25,187
1157,1,0,189
1158,2,0.5,188
1159,1,0,187
1160,1,0,190
1161,2,0.25,187
1162,1,0,191
1163,1,0,182
1164,3,0.222222222222222,188
1165,2,0.25,191
1166,1,0,192
1167,1,0,188
1168,1,0,189
1169,1,0,192
1170,3,0.333333333333333,190
1171,1,0,186
1172,6,0.305555555555556,188
1173,1,0,189
1174,5,0.24,185
1175,1,0,184
1176,1,0,185
1177,4,0.1875,186
1178,2,0.5,185
1179,1,0,184
1180,1,0,182
1181,3,0.333333333333333,184
1182,1,0,179
1183,1,0,184
1184,2,0.25,181
1185,1,0,180
1186,1,0,178
1187,1,0,176
1188,1,0,178
1189,2,0.25,176
1190,1,0,177
1191,2,0.25,178
1192,2,0.25,176
1193,1,0,175
1194,2,0.5,176
1195,1,0,174
1196,1,0,172
1197,1,0,173
1198,1,0,176
1199,1,0,170
1200,1,0,166
1201,1,0,163
1202,1,0,169
1203,1,0,165
1204,2,0.5,169
1205,1,0,169
1206,2,0.25,167
1207,1,0,164
1208,1,0,166
1209,2,0.5,164
1210,1,0,169
1211,1,0,168
1212,1,0,166
1213,1,0,168
1214,2,0.25,165
1215,1,0,161
1216,2,0.25,163
1217,2,0.5,162
1218,1,0,159
1219,1,0,162
1220,1,0,159
1221,3,0.222222222222222,162
1222,1,0,156
1223,1,0,159
1224,1,0,160
1225,1,0,158
1226,1,0,157
1227,1,0,156
1228,2,0.25,156
1229,1,0,155
1230,1,0,157
1231,1,0,154
1232,1,0,156
1233,1,0,152
1234,3,0.333333333333333,155
1235,1,0,150
1236,1,0,151
1237,1,0,150
1238,1,0,156
1239,1,0,154
1240,1,0,154
1241,2,0.5,153
1242,1,0,151
1243,1,0,148
1244,1,0,152
1245,1,0,150
1246,1,0,152
1247,1,0,149
1248,2,0.25,159
1249,1,0,156
1250,1,0,158
1251,1,0,159
1252,1,0,157
1253,1,0,161
1254,1,0,162
1255,1,0,159
1256,1,0,161
1257,1,0,156
1258,1,0,163
1259,1,0,159
1260,3,0.444444444444444,161
1261,1,0,158
1262,4,0.25,163
1263,1,0,157
1264,1,0,162
1265,1,0,159
1266,1,0,166
1267,1,0,163
1268,1,0,159
1269,1,0,168
1270,10,0.36,167
1271,1,0,165
1272,1,0,162
1273,2,0.25,168
1274,2,0.25,167
1275,2,0.25,171
1276,1,0,170
1277,2,0.25,169
1278,1,0,167
1279,2,0.5,171
1280,3,0.222222222222222,172
1281,1,0,170
1282,1,0,174
1283,2,0.25,172
1284,1,0,176
1285,1,0,174
1286,3,0.222222222222222,173
1287,1,0,175
1288,3,0.333333333333333,171
1289,2,0.25,174
1290,2,0.25,176
1291,2,0.25,175
1292,2,0.25,173
1293,1,0,177
1294,3,0.333333333333333,172
1295,1,0,176
1296,1,0,177
1297,1,0,179
1298,2,0.25,178
1299,3,0.222222222222222,177
1300,1,0,179
1301,1,0,180
1302,1,0,181
1303,1,0,183
1304,1,0,170
1305,1,0,182
1306,1,0,180
1307,3,0.333333333333333,174
1308,1,0,184
1309,5,0.32,179
1310,2,0.25,180
1311,1,0,181
1312,1,0,184
1313,1,0,185
1314,1,0,186
1315,3,0.222222222222222,181
1316,1,0,184
1317,2,0.25,181
1318,1,0,182
1319,2,0.25,183
1320,1,0,184
1321,2,0.25,183
1322,2,0.25,187
1323,1,0,189
1324,1,0,190
1325,2,0.25,186
1326,2,0.5,183
1327,1,0,189
1328,2,0.25,188
1329,1,0,187
1330,1,0,192
1331,1,0,190
1332,1,0,189
1333,1,0,191
1334,3,0.333333333333333,186
1335,1,0,187
1336,1,0,190
1337,1,0,187
1338,1,0,190
1339,1,0,186
1340,3,0.222222222222222,187
1341,1,0,190
1342,1,0,187
1343,1,0,184
1344,1,0,187
1345,1,0,184
1346,1,0,187
1347,1,0,180
1348,2,0.5,180
1349,1,0,181
1350,1,0,186
1351,1,0,183
1352,1,0,180
1353,2,0.25,182
1354,1,0,181
1355,5,0.4,177
1356,2,0.25,179
1357,2,0.25,180
1358,1,0,178
1359,1,0,176
1360,1,0,179
1361,1,0,179
1362,2,0.5,177
1363,5,0.36,173
1364,1,0,170
1365,1,0,174
1366,2,0.25,170
1367,1,0,171
1368,1,0,171
1369,1,0,169
1370,1,0,171
1371,1,0,173
1372,2,0.5,168
1373,1,0,165
1374,3,0.222222222222222,170
1375,1,0,167
1376,1,0,171
1377,8,0.25,168
1378,1,0,173
1379,2,0.5,170
1380,1,0,171
1381,1,0,169
1382,2,0.25,168
1383,1,0,165
1384,1,0,170
1385,1,0,168
1386,1,0,166
1387,1,0,163
1388,1,0,165
1389,1,0,164
1390,1,0,158
1391,1,0,164
1392,1,0,158
1393,2,0.25,158
1394,3,0.222222222222222,159
1395,2,0.5,163
1396,1,0,158
1397,2,0.5,155
1398,1,0,154
1399,1,0,162
1400,1,0,155
1401,3,0.222222222222222,157
1402,1,0,151
1403,2,0.25,156
1404,2,0.5,157
1405,3,0.333333333333333,155
1406,1,0,150
1407,1,0,154
1408,3,0.222222222222222,155
1409,1,0,151
1410,2,0.25,150
1411,2,0.5,153
1412,1,0,149
1413,1,0,147
1414,1,0,152
1415,1,0,149
1416,1,0,147
1417,2,0.25,149
1418,1,0,146
1419,1,0,150
1420,2,0.25,147
1421,1,0,150
1422,4,0.25,147
1423,1,0,158
1424,1,0,155
1425,2,0.5,158
1426,1,0,154
1427,3,0.222222222222222,160
1428,1,0,162
1429,1,0,155
1430,1,0,159
1431,3,0.333333333333333,161
1432,1,0,156
1433,1,0,161
1434,1,0,160
1435,1,0,155
1436,2,0.25,158
1437,1,0,161
1438,3,0.222222222222222,162
1439,1,0,158
1440,1,0,156
1441,1,0,165
1442,1,0,160
1443,1,0,164
1444,1,0,160
1445,1,0,164
1446,1,0,161
1447,1,0,168
1448,1,0,170
1449,1,0,174
1450,1,0,170
1451,1,0,171
1452,1,0,175
1453,4,0.25,168
1454,4,0.3125,171
1455,1,0,174
1456,1,0,170
1457,1,0,170
1458,3,0.222222222222222,172
1459,1,0,172
1460,1,0,175
1461,1,0,173
1462,1,0,182
1463,2,0.25,175
1464,2,0.25,176
1465,3,0.444444444444444,175
1466,1,0,176
1467,1,0,179
1468,1,0,178
1469,1,0,179
1470,1,0,178
1471,1,0,179
1472,1,0,172
1473,1,0,178
1474,1,0,177
1475,4,0.5625,178
1476,1,0,182
1477,1,0,183
1478,1,0,179
1479,2,0.5,180
1480,3,0.444444444444444,179
1481,1,0,181
1482,1,0,178
1483,3,0.333333333333333,180
1484,1,0,182
1485,1,0,181
1486,1,0,182
1487,1,0,180
1488,2,0.25,183
1489,1,0,182
1490,1,0,185
1491,1,0,183
1492,1,0,186
1493,2,0.25,183
1494,1,0,181
1495,3,0.333333333333333,182
1496,1,0,185
1497,1,0,183
1498,2,0.25,184
1499,1,0,183
1500,1,0,186
1501,1,0,183
1502,1,0,186
1503,1,0,190
1504,1,0,185
1505,1,0,186
1506,2,0.5,187
1507,1,0,185
1508,3,0.222222222222222,186
1509,3,0.222222222222222,185
1510,3,0.333333333333333,186
1511,2,0.5,185
